Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
214,Scoot Henderson,PG,19,POR,62,32,285,50,129,.385,14,43,.325,35,85,.416,.440,27,33,.819,9,23,31,54,8,2,34,31,140
215,Taylor Hendricks,PF,20,UTA,40,23,214,27,60,.450,13,35,.379,14,25,.550,.560,6,7,.793,12,35,46,8,7,8,7,19,73
216,Tyler Herro,SG,24,MIA,42,40,335,77,175,.441,31,79,.396,46,96,.478,.531,23,26,.856,5,48,53,45,7,1,22,15,208
217,Buddy Hield,SF-SG,31,TOT,84,42,257,44,101,.436,26,68,.386,18,34,.539,.565,6,7,.881,7,25,32,28,8,5,12,20,121
217,Buddy Hield,SF,31,IND,52,28,257,44,99,.443,26,69,.384,18,31,.575,.575,5,6,.848,7,26,32,27,8,6,12,20,120
217,Buddy Hield,SG,31,PHI,32,14,258,44,104,.426,26,66,.389,19,38,.492,.550,8,8,.923,8,23,32,30,8,3,13,21,122
218,Haywood Highsmith,PF,27,MIA,66,26,207,23,50,.465,12,29,.396,12,21,.562,.581,3,5,.639,10,22,32,11,8,5,5,18,61
219,Nate Hinton,SG,24,HOU,15,0,50,7,17,.423,5,9,.500,3,8,.333,.558,3,3,.800,5,10,15,7,2,1,2,7,22
220,D'Moi Hodge,SG,25,LAL,7,0,59,7,21,.333,4,17,.250,3,4,.667,.433,1,3,.500,0,0,0,7,1,1,1,6,20
221,Aaron Holiday,PG,27,HOU,78,1,163,24,53,.446,11,28,.387,13,26,.510,.547,7,8,.921,3,13,16,18,5,1,7,16,66
222,Jrue Holiday,PG,33,BOS,69,69,328,48,100,.480,20,47,.429,28,53,.526,.581,9,10,.833,12,42,54,48,9,8,18,16,125
223,Justin Holiday,SG,34,DEN,58,9,149,15,33,.454,9,23,.404,6,10,.569,.595,1,1,.750,2,11,12,12,6,2,2,12,40
224,Richaun Holmes,C-PF,30,TOT,40,10,139,21,37,.558,0,1,.333,20,36,.563,.561,9,12,.723,18,28,46,6,3,5,6,19,50
224,Richaun Holmes,C,30,DAL,23,2,103,14,26,.559,0,0,,14,26,.559,.559,5,9,.571,14,20,34,7,1,4,5,14,34
224,Richaun Holmes,PF,30,WAS,17,8,187,29,52,.557,1,2,.333,28,50,.565,.563,13,15,.846,22,39,61,6,5,6,7,24,71
225,Chet Holmgren,C,21,OKC,82,82,294,62,116,.530,16,43,.370,46,74,.623,.598,27,34,.793,16,63,79,24,6,23,16,24,165
226,Jalen Hood-Schifino,SG,20,LAL,21,0,52,5,21,.222,1,7,.133,4,14,.267,.244,6,10,.600,1,5,6,4,1,1,4,6,16
227,Al Horford,C,37,BOS,65,33,268,33,64,.511,17,40,.419,16,25,.658,.640,4,5,.867,13,51,64,26,6,10,7,14,86
228,Talen Horton-Tucker,PG,23,UTA,51,11,198,36,91,.396,12,36,.330,24,55,.438,.460,17,21,.807,4,20,24,35,9,4,13,18,101
229,Danuel House Jr.,SF,30,PHI,34,4,150,14,31,.448,4,15,.300,9,16,.582,.519,10,14,.761,5,12,17,8,4,1,6,13,42
230,Caleb Houstan,SF,21,ORL,59,13,138,14,35,.388,12,33,.373,1,2,.615,.563,4,4,.808,5,9,14,5,3,1,3,10,43
231,Jett Howard,SF,20,ORL,18,0,37,6,17,.333,4,14,.280,2,3,.600,.450,1,2,.500,1,3,4,3,1,1,2,2,16
232,Kevin Huerter,SG,25,SAC,64,59,244,39,88,.443,19,53,.361,20,34,.571,.553,6,7,.766,6,29,35,26,7,4,8,21,102
233,Jay Huff,C,25,DEN,20,0,25,5,8,.600,2,5,.333,3,3,1.000,.700,1,1,1.000,1,5,6,1,1,2,1,5,12
234,De'Andre Hunter,SF,26,ATL,57,37,295,53,116,.459,21,53,.385,33,63,.521,.547,29,34,.847,5,34,39,15,7,3,15,26,156
235,Matthew Hurt,PF,23,MEM,8,0,141,15,43,.353,6,25,.250,9,18,.500,.426,4,4,1.000,11,9,20,5,4,4,3,10,40
236,Bones Hyland,PG,23,LAC,37,5,146,26,68,.386,12,36,.326,14,31,.457,.474,5,6,.783,1,14,15,25,7,1,12,14,69
237,Joe Ingles,SF,36,ORL,68,0,172,15,33,.436,10,24,.435,4,10,.439,.590,4,5,.824,3,18,21,30,6,1,10,13,44
238,Brandon Ingram,SF,26,NOP,64,64,329,78,159,.492,13,38,.355,65,121,.534,.534,38,48,.801,7,44,51,57,8,6,25,23,208
239,Kyrie Irving,SG,31,DAL,58,58,350,97,195,.497,30,73,.411,67,122,.548,.573,33,36,.905,8,42,50,52,13,5,18,19,256
240,Jonathan Isaac,PF,26,ORL,58,2,158,25,49,.510,7,19,.375,18,30,.598,.584,10,14,.720,13,32,45,5,7,12,5,11,68
